"Site ID","State","Elevation","Landcover Type"
"ab13","AK","487.2","Tundra"
"ab33","AK","334.8","Evergreen_Needleleaf"
"ab39","AK","147.7","Tundra"
"ab45","AK","506.5","Tundra"
"ab51","AK","75.8","Evergreen_Needleleaf"
"ac07","AK","178.0","Tundra"
"ac09","AK","368.6","Tundra"
"ac23","AK","80.3","Evergreen_Needleleaf"
"ac24","AK","35.8","Tundra"
"ac31","AK","227.7","Tundra"
"ac34","AK","103.2","Tundra"
"ac40","AK","39.3","Tundra"
"ac61","AK","745.1","Evergreen_Needleleaf"
"ac71","AK","64.0","Grassland"
"ac78","AK","643.7","-999"
"acso","OH","249.4","-999"
"alrt","Nunavut","78.1","Unknown"
"ashl","MN","348.0","-999"
"av06","AK","463.1","Tundra"
"av26","AK","577.6","Tundra"
"av38","AK","492.3","Tundra"
"bake","Nunavut","4.2",""
"blw2","WY","2215.6","Evergreen_Needleleaf"
"coa1","CO","2464.4",""
"ec01","CO","1987.8",""
"emly","MN","357.0","-999"
"gtrg","ID","1539.2","Grassland"
"hkry","MN","329.5","-999"
"hywd","MN","272.1","-999"
"jcbs","MN","351.0","-999"
"mc03","CO","1380.1",""
"mc08","CO","1835.8","CropLands"
"mfld","WI","44.6",""
"mfle","CO","1727.3","Grassland"
"mlca","MN","339.0","-999"
"moil","NV","2197.0","Grassland"
"nwot","CO","3522.5","Tundra"
"p002","NV","1741.7","Open_Shrubland"
"p007","NV","1687.2","Open_Shrubland"
"p008","AZ","1522.9","Open_Shrubland"
"p012","UT","1788.5","Open_Shrubland"
"p013","NV","1434.0","Open_Shrubland"
"p015","AZ","1930.2","Barren/Sparsely_Vegetated"
"p016","UT","1730.5","Open_Shrubland"
"p017","NV","2407.0","Grassland"
"p019","ID","1683.0","Grassland"
"p023","ID","1522.1","Grassland"
"p025","ID","695.9","Croplands"
"p029","CO","2456.2","Savannas"
"p030","WY","2149.8","Grassland"
"p031","CO","1657.6","Open_Shrubland"
"p032","WY","2167.3","Grassland"
"p033","WY","1375.9","Open_Shrubland"
"p035","NM","1780.4","Grassland"
"p036","NM","2529.9","Grassland"
"p037","CO","1616.9","Grassland"
"p038","NM","1213.0","Open_Shrubland"
"p039","NM","1493.6","Grassland"
"p040","CO","1102.6","Grassland"
"p041","CO","1728.8","Grassland"
"p042","WY","1422.4","Grassland"
"p043","WY","1490.9","Grassland"
"p044","CO","1411.0","Grassland"
"p045","MT","1618.2","Grassland"
"p046","MT","1290.9","Grassland"
"p048","MT","1492.6","Grassland"
"p049","MT","1186.1","Grassland"
"p050","MT","1266.9","CropLand/Natura"
"p051","MT","1081.1","Grassland"
"p052","MT","858.6","CropLand/Natura"
"p053","MT","815.6","Grassland"
"p057","UT","1382.2","Grassland"
"p062","OR","1350.7","Grassland"
"p063","OR","965.4","Grassland"
"p069","NV","1886.4","Open_Shrubland"
"p070","NM","1884.5","Grassland"
"p076","NV","2006.7","Savannas"
"p085","NV","1661.8","Grassland"
"p088","UT","1921.2","Savannas"
"p090","NV","1504.2","Grassland"
"p100","UT","1884.1","Savannas"
"p101","UT","2016.1","Open_Shrubland"
"p103","UT","1491.4","Open_Shrubland"
"p104","UT","1397.6","Open_Shrubland"
"p105","UT","1431.5","Open_Shrubland"
"p106","UT","1559.5","Grassland"
"p107","NM","1991.7","Woody_Savanna"
"p108","UT","1683.2","Grassland"
"p109","UT","1761.7","Grassland"
"p110","UT","2266.2","Savannas"
"p112","UT","1930.4","Grassland"
"p113","UT","1317.6","Barren/Sparsely_Vegetated"
"p118","UT","2082.6","Grassland"
"p121","UT","1452.4","Grassland"
"p123","NM","2411.2","Open_Shrubland"
"p124","UT","1773.6","CropLand/Natura"
"p126","UT","1872.4","Savannas"
"p128","NV","1320.6","Open_Shrubland"
"p130","NV","1380.1","Open_Shrubland"
"p133","NV","1782.4","Open_Shrubland"
"p137","NV","1332.3","Open_Shrubland"
"p144","CA","1437.4","Evergreen_Needleleaf"
"p149","CA","2634.7","Evergreen_Needleleaf"
"p150","CA","2619.1","Evergreen_Needleleaf"
"p325","CA","915.0","Grassland"
"p346","CA","2039.4","Woody_Savanna"
"p350","ID","2388.3","Grassland"
"p351","ID","2692.6","Woody_Savanna"
"p353","ID","2041.0","Grassland"
"p355","ID","2329.2","Grassland"
"p358","ID","2420.0","Grassland"
"p360","ID","1857.9","Grassland"
"p372","OR","1208.3","Grassland"
"p381","OR","1567.9","Grassland"
"p386","OR","1104.0","Grassland"
"p387","OR","963.0","Grassland"
"p389","OR","1397.9","Open_Shrubland"
"p390","OR","1555.4","Savannas"
"p391","OR","1834.2","Open_Shrubland"
"p392","OR","1316.0","Grassland"
"p393","OR","1238.9","Open_Shrubland"
"p394","OR","1011.2","Grassland"
"p413","WA","501.3","Grassland"
"p445","OR","436.1","Grassland"
"p447","OR","471.7","Grassland"
"p448","WA","261.5","Open_Shrubland"
"p453","WA","644.2","Grassland"
"p455","ID","2594.5","Woody_Savanna"
"p457","MT","2262.5","Grassland"
"p460","MT","2197.8","Woody_Savanna"
"p461","MT","1544.1","Woody_Savanna"
"p637","CA","2031.7","Open_Shrubland"
"p640","CA","2201.5","Woody_Savanna"
"p641","CA","2527.0","Open_Shrubland"
"p645","CA","2008.0","Open_Shrubland"
"p646","CA","2102.6","Open_Shrubland"
"p649","CA","2154.6","Grassland"
"p654","CA","2054.1","Open_Shrubland"
"p676","ID","2189.8","Grassland"
"p677","ID","1284.8","Grassland"
"p678","ID","1535.3","Open_Shrubland"
"p679","ID","1936.2","Grassland"
