State_Stn_Num Latitude Longitude0
AK_1062 59.850 -151.300503.8344
AK_1070 61.100 -149.667633.984
AK_957 68.117 -149.4671463.04
AK_1086 61.933 -150.96745.72
AK_1182 66.917 -151.517195.072
AK_1093 62.067 -142.0331011.936
AK_958 67.250 -150.167316.992
AK_959 60.383 -149.683365.76
AK_960 65.483 -145.4001112.52
AK_1071 60.783 -148.08315.24
AK_1174 64.850 -147.800137.16
AK_961 66.567 -145.233131.064
AK_962 66.733 -150.667618.744
AK_956 60.600 -149.050335.28
AK_963 63.933 -145.383377.952
AK_964 60.250 -149.333213.36
AK_965 68.067 -163.000198.12
AK_968 68.617 -149.300929.64
AK_1091 61.783 -149.2671082.04
AK_946 61.067 -149.467716.28
AK_1036 64.550 -164.2837.62
AK_1063 59.717 -150.650505.968
AK_1072 63.533 -150.983472.44
AK_1175 67.917 -162.26794.488
AK_966 60.717 -150.46791.44
AK_947 65.117 -146.733609.6
AK_1001 58.183 -133.817259.08
AK_1096 61.333 -142.700490.728
AK_1003 59.733 -151.250402.336
AK_1064 59.767 -150.750701.04
AK_1094 63.300 -147.633826.008
AK_949 65.067 -145.867563.88
AK_1176 59.583 -135.200685.8
AK_1035 61.367 -148.983640.08
AK_1103 60.950 -149.083469.392
AK_1073 60.550 -145.733428.244
AK_948 65.250 -146.150853.44
AK_950 64.850 -146.200944.88
AK_1074 60.317 -146.65015.24
AK_1037 59.683 -150.700381
AK_986 64.983 -163.10030.48
AK_1002 61.383 -150.01776.2
AK_987 59.350 -151.83391.44
AK_1075 60.050 -148.05015.24
AK_1177 70.250 -148.5509.144
AK_1178 63.917 -145.317373.38
AK_973 64.533 -163.41776.2
AK_1183 69.417 -148.683304.8
AK_1087 60.417 -147.4006.096
AK_1088 60.217 -144.8509.144
AK_1095 61.067 -146.283167.64
AK_955 60.617 -149.517426.72
AK_967 62.117 -150.033114.3
AK_1076 60.850 -146.66715.24
AK_951 64.933 -145.517499.872
AK_1089 62.617 -150.767259.08
AK_954 60.767 -149.167573.024
AK_952 65.100 -144.917868.68
AK_1090 65.367 -146.583768.096
AK_1055 61.183 -145.633533.4
AZ_308 34.450 -111.4002225.04
AZ_1140 34.450 -111.3672346.96
AZ_310 33.967 -109.5002781.3
AZ_902 33.683 -109.2002435.352
AZ_1143 36.317 -109.0502804.16
AZ_1139 35.250 -112.0502164.08
AZ_416 33.800 -109.1502560.32
AZ_1121 35.267 -111.7332240.28
AZ_488 35.067 -111.8332194.56
AZ_511 33.650 -109.3002749.296
AZ_969 34.733 -111.4002325.624
AZ_519 34.300 -110.7502328.672
AZ_617 33.917 -109.4502804.16
AZ_640 34.933 -111.5172286
AZ_1125 34.967 -111.5002590.8
AZ_1127 33.883 -109.1502590.8
AZ_705 34.367 -111.0002417.064
AZ_927 35.333 -111.6502965.704
AZ_861 35.133 -112.1332188.464
AZ_866 33.750 -109.4672392.68
AZ_877 33.800 -110.9172103.12
CA_301 41.233 -120.7831886.712
CA_356 38.600 -119.9172455.7736
CA_1051 38.717 -119.8832477.7192
CA_1067 38.683 -119.9832545.9944
CA_391 41.567 -120.3002142.744
CA_977 41.883 -120.7501575.816
CA_428 39.317 -120.3672089.404
CA_446 41.983 -120.1672243.328
CA_462 38.533 -119.8002671.572
CA_463 38.833 -120.0672337.816
CA_473 38.933 -120.0501900.7328
CA_1049 38.667 -119.9502443.5816
CA_508 38.850 -119.9332370.1248
CA_518 38.917 -119.9002615.7936
CA_1050 38.833 -119.8832608.1736
CA_539 39.450 -120.2832134.5144
CA_540 39.483 -120.2671967.7888
CA_541 39.417 -120.3002545.6896
CA_574 38.267 -119.6002931.2616
CA_575 38.300 -119.5502193.9504
CA_587 38.433 -119.3502814.2184
CA_633 38.667 -119.6002532.888
CA_697 38.500 -119.6172357.9328
CA_724 38.983 -120.1172343.6072
CA_771 38.300 -119.5832690.4696
CA_778 38.650 -119.8171863.852
CA_784 39.183 -120.2502447.2392
CA_1052 38.383 -119.5332838.6024
CA_809 39.167 -120.1502071.7256
CA_834 39.300 -120.1831983.9432
CA_846 38.067 -119.2332878.836
CA_848 39.133 -120.2172028.444
CO_303 37.317 -105.0673048
CO_1030 40.350 -106.3673340.608
CO_305 39.900 -105.7502950.464
CO_322 40.300 -105.6332895.6
CO_1061 40.050 -107.0002767.584
CO_327 37.700 -107.5003535.68
CO_1041 39.583 -106.5002590.8
CO_335 39.800 -105.7673444.24
CO_345 39.750 -107.3503316.224
CO_1161 40.883 -105.6502718.816
CO_369 39.083 -106.5333230.88
CO_938 39.300 -106.1003398.52
CO_913 40.217 -106.5832816.352
CO_378 39.867 -107.5832865.12
CO_380 38.883 -106.9503096.768
CO_386 37.650 -107.8002706.624
CO_387 37.650 -107.8002718.816
CO_1101 39.250 -106.6173081.528
CO_1059 38.150 -106.5833054.096
CO_408 40.383 -106.6002791.968
CO_409 38.417 -108.3672865.12
CO_904 37.433 -108.0173287.268
CO_412 40.200 -105.5672621.28
CO_415 39.483 -106.1673215.64
CO_426 40.167 -107.0502773.68
CO_430 37.200 -105.1833200.4
CO_431 37.017 -106.4503060.192
CO_438 40.800 -105.7673115.056
CO_457 40.533 -106.7672560.32
CO_936 39.650 -105.5833230.88
CO_465 37.783 -108.0173048
CO_467 40.833 -106.9672651.76
CO_1120 39.850 -106.4173206.496
CO_485 39.367 -106.1833474.72
CO_1057 38.867 -105.0673493.008
CO_1058 37.467 -106.5333541.776
CO_505 39.633 -105.8673383.28
CO_1102 38.283 -105.8503267.456
CO_531 39.350 -106.0503474.72
CO_1122 40.567 -105.6172859.024
CO_538 37.933 -107.6672987.04
CO_542 39.067 -106.6003230.88
CO_547 39.283 -106.5333169.92
CO_935 39.567 -105.8003340.608
CO_551 40.517 -105.8833084.576
CO_970 39.750 -105.9003169.92
CO_556 39.317 -106.6002926.08
CO_564 39.933 -105.5832956.56
CO_565 40.400 -105.8173261.36
CO_580 37.367 -106.5333352.8
CO_586 37.783 -107.9173108.96
CO_589 37.883 -108.1832926.08
CO_1123 40.500 -105.7503041.904
CO_940 40.800 -106.7332840.736
CO_602 39.667 -105.9003474.72
CO_607 40.067 -106.6672706.624
CO_905 37.417 -108.1673048
CO_618 39.117 -107.2832895.6
CO_1040 39.600 -106.5332889.504
CO_914 37.850 -105.4332941.0152
CO_622 39.050 -108.0503048
CO_937 39.433 -105.9003230.88
CO_624 37.617 -107.0333429
CO_1014 39.783 -106.0172724.912
CO_629 37.833 -107.7173060.192
CO_632 37.733 -107.6833200.4
CO_1124 37.950 -106.5503395.472
CO_658 39.283 -106.6002651.76
CO_1031 40.400 -105.9503133.344
CO_663 40.033 -105.5333020.568
CO_669 39.067 -107.1332804.16
CO_675 39.083 -107.6332999.232
CO_680 38.817 -106.5832926.08
CO_682 39.033 -107.8673035.808
CO_688 40.383 -105.8332752.344
CO_701 38.483 -106.3333279.648
CO_709 40.367 -106.7332865.12
CO_1032 40.700 -106.0002749.296
CO_713 37.883 -107.7003413.76
CO_717 40.100 -107.2833151.632
CO_718 40.867 -106.0332956.56
CO_939 39.017 -106.0673157.728
CO_1100 38.683 -106.3673212.592
CO_1128 38.283 -106.3673514.344
CO_737 39.000 -107.0333261.36
CO_739 37.633 -108.0002773.68
CO_1060 37.500 -108.1003267.456
CO_762 37.983 -107.2003486.912
CO_773 37.967 -105.5333291.84
CO_780 37.683 -107.7673249.168
CO_793 40.217 -105.9172657.856
CO_797 37.467 -107.6173413.76
CO_802 39.717 -106.1502865.12
CO_825 40.533 -106.6673200.4
CO_827 39.983 -107.2332956.56
CO_829 37.350 -105.2173310.128
CO_838 40.017 -105.5673139.44
CO_839 37.717 -107.2502865.12
CO_840 37.483 -106.8333108.96
CO_1141 38.983 -106.7503243.072
CO_1005 37.600 -105.3673246.12
CO_842 39.617 -106.3673139.44
CO_843 37.483 -107.5003316.224
CO_1160 37.517 -107.3173273.552
CO_857 37.200 -105.1173115.056
CO_1042 40.200 -105.6002913.888
CO_869 40.333 -106.0832907.792
CO_870 40.417 -105.7333261.36
CO_874 37.467 -106.8003352.8
CO_1033 40.783 -106.5832846.832
ID_306 43.750 -115.2332310.384
ID_312 44.300 -115.2332145.792
ID_319 44.950 -116.1331630.68
ID_320 43.733 -113.9332407.92
ID_323 48.300 -116.0671645.92
ID_324 44.600 -116.9671883.664
ID_338 44.617 -115.7832005.584
ID_978 43.750 -116.0831932.432
ID_359 42.150 -114.1832286
ID_370 45.033 -116.1171905
ID_382 43.250 -115.3331740.408
ID_895 43.767 -114.4171962.912
ID_411 46.750 -115.2831914.144
ID_423 44.283 -115.6501639.824
ID_424 44.433 -111.9832090.928
ID_425 46.550 -115.2831816.608
ID_439 44.533 -115.5502090.928
ID_450 43.600 -114.6672566.416
ID_466 46.833 -116.1171734.312
ID_471 42.350 -111.5502252.472
ID_484 42.050 -111.6002464.308
ID_489 43.867 -114.6672276.856
ID_490 43.867 -114.7002676.144
ID_492 43.600 -113.9171999.488
ID_493 42.400 -111.1502112.264
ID_496 43.950 -115.2671734.312
ID_520 46.467 -115.6331770.888
ID_988 48.883 -116.7501536.192
ID_524 44.017 -113.4672438.4
ID_534 42.317 -113.6002432.304
ID_535 47.517 -115.7671295.4
ID_537 43.700 -114.1502267.712
ID_546 44.417 -111.3831917.192
ID_550 44.050 -115.4332154.936
ID_588 46.633 -114.5671597.152
ID_1016 44.783 -116.0831490.472
ID_594 47.450 -115.7001566.672
ID_600 47.067 -115.9501862.328
ID_601 43.817 -114.2502407.92
ID_610 42.167 -114.2832097.024
ID_620 44.433 -113.3172788.92
ID_623 47.150 -116.2671374.648
ID_627 44.467 -114.4832682.24
ID_636 44.400 -113.3832267.712
ID_638 45.667 -113.9501889.76
ID_637 43.917 -115.6501859.28
ID_639 44.833 -114.2672316.48
ID_989 46.800 -116.8501432.56
ID_645 48.050 -116.2171584.96
ID_650 45.683 -115.2171938.528
ID_654 42.600 -116.5501746.504
ID_1053 48.717 -116.4501072.896
ID_674 43.317 -115.983975.36
ID_677 42.250 -112.1172054.352
ID_1142 46.483 -115.783938.784
ID_695 43.567 -111.2002048.256
ID_704 43.500 -115.5671463.04
ID_1081 47.850 -117.0331283.208
ID_2029 43.067 -116.7501706.88
ID_735 46.450 -114.6171880.616
ID_915 44.833 -113.8332602.992
ID_738 48.367 -116.6331856.232
ID_740 45.183 -115.9671987.296
ID_741 42.517 -111.9502392.68
ID_747 46.550 -115.7331392.936
ID_749 43.200 -111.6832002.536
ID_752 46.950 -116.333975.36
ID_761 42.550 -111.2832202.18
ID_926 43.717 -113.8332901.696
ID_769 43.483 -114.8171749.552
ID_770 42.950 -111.3502072.64
ID_774 42.750 -116.9001981.2
ID_782 44.767 -116.2331901.952
ID_792 43.850 -114.2002264.664
ID_803 47.550 -115.8171688.592
ID_805 43.617 -113.9672328.672
ID_830 43.617 -115.4332368.296
ID_979 44.367 -116.3331499.616
ID_845 43.783 -114.8502731.008
ID_855 45.067 -116.4501694.688
ID_860 44.517 -111.4002350.008
ID_867 42.750 -112.4671978.152
ID_871 42.000 -115.0002170.176
MT_916 45.583 -111.9502529.84
MT_1165 48.200 -114.5001469.136
MT_307 48.117 -113.0172103.12
MT_311 48.567 -115.4331706.88
MT_313 46.083 -113.1172514.6
MT_315 45.783 -112.5172188.464
MT_318 44.467 -112.9672697.48
MT_328 44.933 -111.3502392.68
MT_346 47.683 -113.9831499.616
MT_347 44.500 -111.1172490.216
MT_349 46.400 -113.4172197.608
MT_1144 47.967 -114.2501722.12
MT_355 45.150 -113.5002316.48
MT_360 46.550 -111.2832423.16
MT_363 45.267 -110.2332033.016
MT_365 45.883 -110.9332231.136
MT_981 45.233 -109.4501792.224
MT_381 45.883 -113.3171959.864
MT_385 44.950 -111.2832743.2
MT_403 45.017 -111.8332621.28
MT_407 45.183 -109.3332392.68
MT_410 46.450 -113.3831706.88
MT_413 47.050 -112.5831584.96
MT_414 47.067 -112.7172118.36
MT_427 46.783 -109.5001844.04
MT_919 46.667 -110.3172316.48
MT_433 46.183 -113.8501761.744
MT_436 45.167 -113.5832621.28
MT_437 46.783 -110.6671965.96
MT_448 44.783 -112.0502377.44
MT_458 48.050 -112.7501752.6
MT_1105 45.500 -110.0671930.908
MT_1106 46.483 -110.7002316.48
MT_469 48.433 -113.9331325.88
MT_480 45.050 -109.9332773.68
MT_482 48.800 -113.8501920.24
MT_487 46.433 -112.1831975.104
MT_918 48.967 -115.8171295.4
MT_500 48.900 -114.7501310.64
MT_510 48.300 -114.8331534.668
MT_516 48.967 -115.9501965.96
MT_530 46.967 -115.0331844.04
MT_562 47.417 -113.7671447.8
MT_568 44.583 -111.8172255.52
MT_576 44.983 -113.4332468.88
MT_578 45.500 -110.9502090.928
MT_581 47.200 -105.183875.0808
MT_590 45.267 -111.4172706.624
MT_1179 48.950 -110.867996.3912
MT_1180 48.783 -111.0331193.9016
MT_603 45.500 -111.9172407.92
MT_604 46.867 -113.3171426.464
MT_609 44.583 -111.1002362.2
MT_613 48.783 -113.6671493.52
MT_635 45.217 -110.2332697.48
MT_646 47.683 -113.9502066.544
MT_649 47.917 -112.8171950.72
MT_656 45.400 -112.9502529.84
MT_657 46.867 -113.2671905
MT_903 46.833 -112.5002139.696
MT_662 45.717 -114.4671722.12
MT_664 48.150 -113.9331840.992
MT_667 47.267 -113.7501929.384
MT_670 45.000 -110.0002240.28
MT_1008 46.900 -110.8502258.568
MT_930 46.117 -113.3002194.56
MT_690 46.567 -111.2672026.92
MT_693 48.300 -113.3171807.464
MT_696 45.417 -110.0832691.384
MT_932 48.117 -115.6171554.48
MT_700 46.100 -110.4671981.2
MT_722 46.350 -112.2502438.4
MT_917 48.167 -109.6331432.56
MT_725 46.083 -110.4332468.88
MT_929 45.867 -110.9171996.44
MT_727 45.683 -113.9672420.112
MT_753 44.967 -111.9502133.6
MT_754 45.400 -110.9502468.88
MT_760 46.233 -113.7672209.8
MT_783 47.167 -114.3331874.52
MT_781 46.767 -110.6172468.88
MT_787 48.900 -114.8501837.944
MT_1009 46.917 -110.9001996.44
MT_901 46.983 -113.9172255.52
MT_808 45.800 -111.5831363.6752
MT_813 44.783 -111.7002438.4
MT_893 46.333 -111.8502097.024
MT_835 46.133 -114.4331706.88
MT_836 46.133 -114.5001950.72
MT_1181 48.883 -111.0831343.5584
MT_847 47.917 -112.7831706.88
MT_850 46.267 -113.1502377.44
